Product Name,Brand,Price,Rating,Review Count,Adjusted Score
11 11 Vanilla Eau de Parfum,Lake & Skye ,$98.00,4.3,121,4.19
My Happy Cocoa & Cashmere Perfume Spray,Clinique ,$108.00,4.2,515,4.18
Daisy Dream Eau de Toilette,Marc Jacobs ,$76.00 - $137.00,4.6,1085,4.55
Sì Passione Eau de Parfum,ARMANI ,$97.00 - $185.00,4.7,5555,4.69
Perfect Eau de Toilette,Marc Jacobs ,$76.00 - $137.00,4.3,701,4.27
Dans Les Bois Eau de Toilette,DIME ,$52.00,4.4,4849,4.39
Coco Shimmy Eau de Toilette,Snif ,$65.00,4.8,331,4.63
Daisy Eau So Intense Eau de Parfum,Marc Jacobs ,$90.00 - $160.00,4.4,1196,4.37
Noir Extreme Eau de Parfum,TOM FORD ,$160.00 - $240.00,4.6,716,4.53
Florence Eau de Parfum,TOCCA ,$86.00,,0,
Miracle Eau de Parfum,Lancôme ,$98.00 - $130.00,4.7,124,4.41
Fame Parfum,Rabanne ,$98.00 - $170.00,4.4,456,4.34
Q by Dolce&Gabbana Eau de Parfum,Dolce&Gabbana ,$129.00 - $161.00,4.2,445,4.17
Euphoria Eau de Parfum,Calvin Klein ,$69.00 - $114.00,4.7,1856,4.67
Sì Eau de Parfum,ARMANI ,$97.00 - $165.00,4.6,644,4.53
Amazing Grace Eau de Parfum,Philosophy ,$74.00,4.6,15925,4.6
Black Orchid Eau de Parfum,TOM FORD ,$120.00 - $240.00,4.2,806,4.18
L'Interdit Eau de Parfum,Givenchy ,$95.00 - $145.00,4.4,895,4.36
Pure Grace Eau de Toilette,Philosophy ,$29.00 - $84.00,4.5,3050,4.49
Sweet Ash Eau de Toilette,Snif ,$65.00,4.8,1069,4.74
Indigo Eau de Parfum,NEST New York ,$92.00,4.5,81,4.25
Bois Pacifique Eau de Parfum,TOM FORD ,$160.00 - $240.00,,0,
Crème Vanille Eau De Parfum,LE MONDE GOURMAND ,$25.00,4.1,43,4.06
Alien Extraintense Eau de Parfum Intense,MUGLER ,$98.00 - $185.00,4.3,428,4.25
Cherry Baby Eau de Parfum,Truly ,$49.00,4.4,9,4.08
COCO Eau de Parfum Spray,CHANEL ,$110.00,4.5,37,4.17
Miel Bébé Eau De Parfum,LE MONDE GOURMAND ,$25.00,4.7,58,4.29
12:00 Eau de Parfum,NOYZ ,$85.00,4.7,834,4.63
Fresh Cream Eau de Toilette,Philosophy ,$54.00,4.6,15925,4.6
Dreams Moonlight Eau de Parfum,Coach ,$74.00 - $112.00,4.4,314,4.31
L'Eau Eau de Toilette,Jimmy Choo ,$67.00 - $92.00,4.5,192,4.34
Perfect Intense Eau de Parfum,Marc Jacobs ,$95.00 - $168.00,4.5,1149,4.46
"I Love Your Smell, Baby Eau de Toilette",DIME ,$52.00,4.2,18,4.07
N°5 Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.5,20,4.12
CHANCE Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.3,27,4.1
Amarige Eau de Toilette,Givenchy ,$136.00,4.5,127,4.3
Guilty Eau de Parfum Intense Pour Femme,Gucci ,$110.00 - $180.00,4.1,816,4.09
COCO MADEMOISELLE Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.5,33,4.16
Irresistible Very Floral Eau De Parfum,Givenchy ,$125.00 - $145.00,4.7,497,4.59
Amazing Grace Bergamot Eau de Toilette,Philosophy ,$29.00 - $64.00,4.4,700,4.36
Bloom Eau De Toilette,Kate Spade New York ,$55.00 - $95.00,4.7,292,4.53
Cashmere Mist Eau de Toilette,Donna Karan ,$69.00 - $110.00,4.8,309,4.62
Moonlight Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.6,352,4.48
Dylan Turquoise Eau De Toilette,Versace ,$70.00 - $115.00,4.5,918,4.46
Heal the Way Eau de Toilette,Snif ,$65.00,4.8,942,4.73
Dolce Eau de Parfum,Dolce&Gabbana ,$147.00,4.6,159,4.39
Dolce Blue Jasmine Eau de Parfum,Dolce&Gabbana ,$88.00 - $147.00,4.2,195,4.15
GABRIELLE CHANEL Eau de Parfum Spray,CHANEL ,$143.00 - $176.00,4.1,30,4.06
Pure Grace Eau de Parfum,Philosophy ,$74.00,4.1,989,4.1
Unicorn Fruit Eau de Parfum,Truly ,$59.00,4.4,192,4.28
Café Rose Eau de Parfum,TOM FORD ,$120.00 - $240.00,4.2,859,4.18
Viva La Juicy Noir Eau de Parfum,Juicy Couture ,$50.40 - $122.00,4.5,228,4.36
Guilty Elixir de Parfum Pour Femme,Gucci ,$175.00,4.2,446,4.17
Tiffany Sheer Eau de Toilette,Tiffany & Co. ,$90.00 - $141.00,4.5,352,4.4
Happy in Paradise Eau de Parfum,Clinique ,$108.00,4.2,27,4.08
Idôle Now Eau De Parfum,Lancôme ,$65.00 - $148.00,4.6,514,4.51
Mon Guerlain Eau de Parfum,Guerlain ,$160.00,4.8,139,4.48
Discovery Kit Eau De Parfum,NOYZ ,$22.00,4.2,156,4.14
Eternity Eau de Parfum,Calvin Klein ,$114.00,4.5,407,4.41
Q by Dolce&Gabbana Eau de Parfum Intense,Dolce&Gabbana ,$170.00,4.6,137,4.37
Ombre Leather Parfum,TOM FORD ,$200.00 - $300.00,4.3,730,4.27
Amazing Grace Eau de Parfum Intense,Philosophy ,$34.00 - $79.00,4.3,869,4.27
Eau de Soleil Blanc Eau de Toilette,TOM FORD ,$160.00 - $240.00,4.3,552,4.26
Idôle Nectar Eau de Parfum,Lancôme ,$119.00 - $148.00,4.7,2957,4.68
Her Blossom Eau de Toilette,Burberry ,$145.00,4.3,372,4.25
Dolce Garden Eau de Parfum,Dolce&Gabbana ,$147.00,4.5,130,4.3
Madagascar Vanilla Perfume Oil,NEST New York ,$102.00,4.5,201,4.35
Eros Pour Femme Eau de Toilette,Versace ,$92.00,4.7,175,4.46
North Bondi Eau de Parfum,OUAI ,$64.00,4.2,123,4.13
Ange ou Démon le Secret Eau de Parfum,Givenchy ,$125.00 - $154.00,4.6,103,4.33
L'Interdit Rouge Eau de Parfum,Givenchy ,$95.00 - $145.00,4.1,439,4.09
Aromatics Elixir Eau de Parfum Spray,Clinique ,$118.00,,0,
Radiant Grace Eau de Parfum,Philosophy ,$74.00 - $94.00,4.6,15925,4.6
N°5 L'EAU Eau de Toilette Spray,CHANEL ,$176.00,4.1,22,4.06
Blossom Eau de Parfum,Jimmy Choo ,$60.00,4.3,34,4.11
Velvet Orchid Eau de Parfum,TOM FORD ,$160.00 - $240.00,4.5,29,4.15
I Love Juicy Couture Eau de Parfum,Juicy Couture ,$96.00,4.7,56,4.28
Idôle Aura Eau de Parfum,Lancôme ,$65.00 - $148.00,4.7,1988,4.67
Pétale Éphémère Eau De Parfum,LE MONDE GOURMAND ,$25.00,4.5,65,4.23
Dolce Rose Eau de Toilette,Dolce&Gabbana ,$108.00,4.4,41,4.15
